marker_lat,marker_lng,proposed_name,text_lat,text_lng,horizontal_difference,vertical_difference,score,nearest_other_title,nearest_other_score,confidence,action,notes
19.973414902296028,68.37907060301313,Uniquititquessett,20.03507341605914,66.88503680747169,1.494034,0.061659,2.302709,Winnisimmet,12.890633,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
16.109226968604325,90.70342905307433,Quonahassit,18.312882947086592,89.69173373551898,1.011695,2.203656,3.721199,Patuxet,36.812369,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
18.374796455267646,90.5495629357697,Quonahassit,18.312882947086592,89.69173373551898,0.857829,0.061914,1.348657,Agawam,36.203769,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
12.33962698536624,93.09845680197498,Quonahassit,18.312882947086592,89.69173373551898,3.406723,5.973256,11.083341,Patuxet,29.450227,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-62.92495331310624,-54.512344055454875,Pochaug,-62.46160496515689,-39.83331129165111,14.679033,0.463348,22.481897,Totoket,23.275643,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-63.19396652496589,-5.229023781412564,Noank,-59.81137296969263,-4.831724521069415,0.397299,3.382594,3.978542,Mistic,8.617220,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
-63.03503351575593,-3.536496491062007,Noank,-59.81137296969263,-4.831724521069415,1.295228,3.223661,5.166503,Mistic,5.919496,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
7.18810087117902,-63.08349609375001,Nonotuck,26.391869671769022,-51.13037109375,11.953125,19.203769,37.133456,Pocumtuck,55.675283,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
4.477856485570586,-60.55664062500001,Nonotuck,26.391869671769022,-51.13037109375,9.426270,21.914013,36.053417,Pocumtuck,54.595244,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
-52.46939684276204,58.11767578125001,Saconet,-51.84935276370606,57.23876953125,0.878906,0.620044,1.938403,Espowett,11.031887,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
8.798225459016358,-19.138183593750004,Menameset,29.171348850951507,-14.809570312500002,4.328613,20.373123,26.866043,Nichewaug,32.638016,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-41.228249015185305,79.21142578125001,Achushnet,-40.380028402511826,77.54150390625001,1.669922,0.848221,3.353103,Apponagansett,10.313508,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
40.01078714046552,81.21093750000001,Massabequash,40.1452892956766,78.79394531250001,2.416992,0.134502,3.759990,Nahumkeak,11.249602,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
39.9602803542957,82.99072265625001,Massabequash,40.1452892956766,78.79394531250001,4.196777,0.185009,6.480175,Nahumkeak,13.969786,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
38.75408327579141,5.207519531250001,Waushacum,34.016241889667036,13.688964843750002,8.481445,4.737841,17.460009,Nashua,19.705858,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
